ECG,P,Q,R,S,T,RR,QT,QRS,HR,Class
100,-0.21,-0.57,0.96,-0.505,-0.325,0.7888888888888889,-0.4638888888888889,0.041666666666666664,76.05633802816902,N
100,-0.265,-0.645,0.86,-0.52,-0.32,0.7888888888888889,-0.44722222222222224,0.04722222222222222,76.05633802816902,N
100,-0.24,-0.565,0.82,-0.5,-0.285,0.7888888888888889,-0.44722222222222224,0.041666666666666664,76.05633802816902,N
100,-0.245,-0.545,0.885,-0.5,-0.31,0.8166666666666667,-0.43333333333333335,0.044444444444444446,73.46938775510205,N
100,-0.23,-0.535,0.945,-0.47,-0.31,0.6555555555555556,-0.45555555555555555,0.044444444444444446,91.52542372881356,N
100,-0.24,-0.57,0.875,-0.48,-0.27,0.9944444444444445,-0.2861111111111111,0.041666666666666664,60.33519553072625,N
100,-0.23,-0.575,0.885,-0.55,-0.305,0.8416666666666667,-0.625,0.05,71.2871287128713,N
100,-0.32,-0.585,0.89,-0.525,-0.325,0.8111111111111111,-0.45555555555555555,0.041666666666666664,73.97260273972603,N
100,-0.26,-0.545,0.925,-0.485,-0.315,0.7916666666666666,-0.4638888888888889,0.041666666666666664,75.78947368421053,N
100,-0.23,-0.53,0.865,-0.46,-0.265,0.7694444444444445,-0.44166666666666665,0.041666666666666664,77.9783393501805,N
100,-0.21,-0.54,0.835,-0.47,-0.26,0.8416666666666667,-0.425,0.041666666666666664,71.2871287128713,N
100,-0.235,-0.515,0.935,-0.455,-0.325,0.8555555555555555,-0.49166666666666664,0.041666666666666664,70.12987012987013,N
100,-0.235,-0.575,0.89,-0.45,-0.27,0.8194444444444444,-0.49722222222222223,0.04722222222222222,73.22033898305085,N
100,-0.18,-0.565,0.795,-0.49,-0.275,0.8305555555555556,-0.45,0.04722222222222222,72.24080267558529,N
100,-0.235,-0.555,0.85,-0.485,-0.32,0.8222222222222222,-0.45,0.04722222222222222,72.97297297297298,N
101,-0.14,-0.37,1.165,-0.41,-0.12,0.8916666666666667,-0.5638888888888889,0.13333333333333333,67.28971962616822,N
101,-0.125,-0.465,1.095,-0.505,-0.125,0.9333333333333333,-0.5777777777777777,0.10555555555555556,64.28571428571428,N
101,-0.235,-0.49,1.1,-0.525,-0.185,0.9555555555555556,-0.5944444444444444,0.10833333333333334,62.7906976744186,N
